Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc
38 ,8495,NES,Alien 3,Action & Adventure,https://vignette.wikia.nocookie.net/avp/images/2/28/Alien3_NES.jpg/revision/latest?cb=20160414151617,
39 ,12179,NES,Alien Syndrome,Action & Adventure,https://now.estarland.com/images/products/hr/13153/031763101123.jpg,
40 ,12180,NES,All-Pro Basketball,Basketball,https://upload.wikimedia.org/wikipedia/en/0/09/All-Pro_Basketball_Cover.png,
41 ,12181,NES,Alpha Mission,Action & Adventure,https://www.mobygames.com/images/covers/l/310359-alpha-mission-nes-front-cover.jpg,
42 ,38035,NES,Alpha Mission [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/310359-alpha-mission-nes-front-cover.jpg,
43 ,12183,NES,Amagon,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/c7/Amagon_Cover.png,
44 ,8507,NES,American Gladiators,Sports,https://upload.wikimedia.org/wikipedia/en/2/24/American_Gladiators_Coverart.png,
45 ,12184,NES,Anticipation,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/8/85/Anticipation_nes.jpg,
46 ,12185,NES,Arch Rivals,Basketball,https://upload.wikimedia.org/wikipedia/en/0/0d/Archrival_box.jpg,
47 ,12186,NES,Archon,Action & Adventure,http://vgmpf.com/Wiki/images/thumb/8/85/Archon_-_NES_-_Box_-_Front.jpg/416px-Archon_-_NES_-_Box_-_Front.jpg,
48 ,8527,NES,Arkanoid,Arcade,https://cdn.thegamesdb.net/images/original/boxart/front/2153-1.jpg,
49 ,38015,NES,Arkanoid [5 Screw],Action & Adventure,https://cdn.thegamesdb.net/images/original/boxart/front/2153-1.jpg,
50 ,37957,NES,Arkanoid [Controller Bundle],Arcade,https://cdn.shopify.com/s/files/1/0363/6845/products/fee49b078ce79f43e671c837d5fc9f7a.jpg?v=1534687228,
51 ,16264,NES,Arkista's Ring,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/4/47/NES_Arkistas_Ring.jpg,
52 ,8538,NES,Astyanax,Action & Adventure,https://www.mobygames.com/images/covers/l/78034-astyanax-nes-front-cover.jpg,
53 ,12187,NES,Athena,Action & Adventure,https://www.mobygames.com/images/covers/l/93958-athena-nes-front-cover.jpg,
54 ,38016,NES,Athena [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/93958-athena-nes-front-cover.jpg,
55 ,12188,NES,Athletic World,Sports,https://now.estarland.com/images/products/hr/13167/045557077006.jpg,
56 ,38009,NES,Athletic World [5 Screw],Sports,https://now.estarland.com/images/products/hr/13167/045557077006.jpg,
57 ,8541,NES,Attack of the Killer Tomatoes,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/3d/Attack_of_the_Killer_Tomatoes_%281991%29_Coverart.png,
58 ,12189,NES,Baby Boomer,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/e/ea/Babyboomer.jpg,
59 ,12190,NES,Back to the Future,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/af/BackToTheFutureNESBoxart.jpg,
60 ,12191,NES,Back to the Future II and III,Action & Adventure,https://vignette.wikia.nocookie.net/bttf/images/1/15/BTTFIIandIII.jpg/revision/latest?cb=20070201220246,
61 ,12192,NES,Bad Dudes,Action & Adventure,https://www.mobygames.com/images/covers/l/94792-bad-dudes-nes-front-cover.jpg,
62 ,12193,NES,Bad News Baseball,Baseball,https://upload.wikimedia.org/wikipedia/en/6/65/Bad_News_Baseball_Coverart.png,
63 ,12194,NES,Bad Street Brawler,Fighting,https://upload.wikimedia.org/wikipedia/en/e/e9/Bad_Street_Brawler_cover.png,
64 ,11981,NES,Balloon Fight,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/a8/BalloonFightnesboxart.jpg,
65 ,37983,NES,Balloon Fight [5 Screw],Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/a8/BalloonFightnesboxart.jpg,
66 ,12195,NES,Bandai Golf Challenge Pebble Beach,Sports,https://upload.wikimedia.org/wikipedia/en/2/2f/Bandai_Golf_-_Challenge_Pebble_Beach_game_cover_art.jpg,
67 ,13109,NES,Bandit Kings of Ancient China,Strategy,https://www.mobygames.com/images/covers/l/11191-bandit-kings-of-ancient-china-dos-front-cover.jpg,
68 ,8554,NES,Barbie,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/7/78/Barbie_NES_box_art.jpg,
69 ,8559,NES,Bard's Tale,RPG,http://img1.game-oldies.com/sites/default/files/packshots/nintendo-nes/bard-s-tale-the-usa.png,
70 ,8560,NES,Barker Bill's Trick Shooting,Other,https://upload.wikimedia.org/wikipedia/en/1/13/BB_TS_NES.PNG,
71 ,11982,NES,Baseball,Baseball,https://upload.wikimedia.org/wikipedia/en/6/64/Baseball_NES_box_art.jpg,
72 ,13843,NES,Baseball Simulator 1.000,Baseball,https://upload.wikimedia.org/wikipedia/en/7/7c/BaseballSimulatorNESBoxart.jpg,
73 ,12198,NES,Baseball Stars,Baseball,https://upload.wikimedia.org/wikipedia/en/2/28/BaseballStarsNESCover.jpg,
74 ,8562,NES,Baseball Stars 2,Baseball,https://server.emulator.games/images/nintendo/baseball-stars-2.jpg,
75 ,37966,NES,Baseball [5 Screw],Baseball,https://upload.wikimedia.org/wikipedia/en/6/64/Baseball_NES_box_art.jpg,
76 ,8564,NES,Bases Loaded,Baseball,https://upload.wikimedia.org/wikipedia/en/c/cb/NES_Bases_Loaded_cover_art.jpg,
77 ,8565,NES,Bases Loaded 2 Second Season,Baseball,https://upload.wikimedia.org/wikipedia/en/7/7c/Bases_Loaded_2_box_art.jpg,
78 ,12199,NES,Bases Loaded 3,Baseball,https://upload.wikimedia.org/wikipedia/en/a/a7/Bases_Loaded_3_box_art.jpg,
79 ,8566,NES,Bases Loaded 4,Baseball,https://upload.wikimedia.org/wikipedia/en/f/fd/Basesloaded4.jpg,
80 ,8574,NES,Batman Returns,Action & Adventure,https://www.mobygames.com/images/covers/l/29788-batman-returns-nes-front-cover.jpg,
81 ,13844,NES,Batman The Video Game,Action & Adventure,https://www.mobygames.com/images/covers/l/59498-batman-the-video-game-nes-front-cover.jpg,
82 ,8570,NES,Batman: Return of the Joker,Action & Adventure,https://www.mobygames.com/images/covers/l/77994-batman-return-of-the-joker-nes-front-cover.jpg,
83 ,12200,NES,Battle Chess,Strategy,https://www.mobygames.com/images/covers/l/216162-battle-chess-nes-front-cover.jpg,
84 ,12201,NES,Battle of Olympus,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/7/7c/Battle_of_olympus.jpg,
85 ,8582,NES,Battleship,Strategy,https://www.mobygames.com/images/covers/l/177327-battleship-nes-front-cover.jpg,
86 ,12202,NES,Battletank,Action & Adventure,https://www.mobygames.com/images/covers/l/62303-garry-kitchen-s-battletank-nes-front-cover.jpg,
87 ,8586,NES,Battletoads,Action & Adventure,https://www.mobygames.com/images/covers/l/78545-battletoads-nes-front-cover.jpg,
88 ,8588,NES,Battletoads and Double Dragon The Ultimate Team,Action & Adventure,https://www.mobygames.com/images/covers/l/247143-battletoads-double-dragon-nes-front-cover.jpg,
89 ,12203,NES,Bee 52,Action & Adventure,https://www.mobygames.com/images/covers/l/19360-bee-52-nes-front-cover.jpg,
90 ,12204,NES,BeetleJuice,Action & Adventure,https://i.ebayimg.com/00/z/5l4AAOxyVaBS0sQy/$_32.JPG,
91 ,8600,NES,Best of the Best Championship Karate,Fighting,https://www.mobygames.com/images/covers/l/247146-best-of-the-best-championship-karate-nes-front-cover.jpg,
92 ,8603,NES,Bible Adventures,Action & Adventure,https://www.mobygames.com/images/covers/l/18977-bible-adventures-nes-front-cover.jpg,
93 ,12205,NES,Bible Buffet,Other,https://m.media-amazon.com/images/M/MV5BNzBhZjZkMzItMTkwZi00ZWJkLWE0MGEtODM2OTQwOWNiZjdjXkEyXkFqcGdeQXVyNTY2MzQ3MDE@._V1_.jpg,
94 ,12106,NES,Big Nose Freaks Out,Action & Adventure,https://www.mobygames.com/images/covers/l/14905-big-nose-freaks-out-nes-front-cover.jpg,
95 ,39520,NES,Big Nose Freaks Out [Aladdin],Action & Adventure,https://cdn11.bigcommerce.com/s-ymgqt/images/stencil/300x300/products/40265/34180/big-nose__04372.1462545219.__17808.1473967314.jpg,
96 ,16129,NES,Big Nose the Caveman,Action & Adventure,https://i.ebayimg.com/07/!!e!Uv1gEWM~$(KGrHqUOKnIEz6TrDnSKBNP3nOLZ1Q~~_32.JPG?set_id=89040003C1,
97 ,12206,NES,Bigfoot,Action & Adventure,https://www.mobygames.com/images/covers/l/29925-bigfoot-nes-front-cover.jpg,
98 ,8607,NES,Bill Elliott's NASCAR Challenge,Racing,http://img2.game-oldies.com/sites/default/files/packshots/nintendo-nes/bill-elliotts-nascar-challenge-usa.png,
99 ,8606,NES,Bill and Ted's Excellent Video Game,Action & Adventure,https://www.mobygames.com/images/covers/l/29993-bill-ted-s-excellent-video-game-adventure-nes-front-cover.jpg,
100,12107,NES,Bionic Commando,Action & Adventure,https://www.mobygames.com/images/covers/l/19540-bionic-commando-nes-front-cover.jpg,
101,12108,NES,Black Bass,Sports,https://www.mobygames.com/images/covers/l/51657-black-bass-windows-front-cover.jpg,
102,12109,NES,Blackjack,Other,https://cdn11.bigcommerce.com/s-ymgqt/images/stencil/1280x1280/products/24683/16162/Game%20Nintendo%20NES-609-2__79382.1394726169.jpg,
103,8614,NES,Blades of Steel,Sports,https://www.mobygames.com/images/covers/l/45167-blades-of-steel-nes-front-cover.jpg,
104,39515,NES,Blades of Steel [Classic Series],Sports,https://cdn11.bigcommerce.com/s-ymgqt/images/stencil/300x300/products/39769/31263/563389_108267_front__09625.1457469319.jpg,
105,12110,NES,Blaster Master,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/99/Blaster_Master_boxart.jpg,
106,8625,NES,Blue Marlin,Sports,https://upload.wikimedia.org/wikipedia/en/7/73/The_blue_marlin_nes_box_art.jpg,
107,8627,NES,Blues Brothers,Action & Adventure,https://www.mobygames.com/images/covers/l/247148-the-blues-brothers-nes-front-cover.jpg,
108,8628,NES,Bo Jackson Baseball,Baseball,https://www.mobygames.com/images/covers/l/175248-bo-jackson-baseball-nes-front-cover.jpg,
109,12111,NES,Bomberman,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/7/72/BombermanCover.jpg,
110,8632,NES,Bomberman II,Puzzle,https://upload.wikimedia.org/wikipedia/en/3/3a/Bomberman2Cover.jpg,
111,8636,NES,Bonk's Adventure,Action & Adventure,https://cdn11.bigcommerce.com/s-ymgqt/images/stencil/1280x1280/products/24691/16176/Game%20Nintendo%20NES-617-2__72500.1394726290.jpg,
112,12112,NES,Boulder Dash,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/a6/Boulder_Dash_NES.jpg,
113,8643,NES,Bram Stoker's Dracula,Action & Adventure,https://static.giantbomb.com/uploads/scale_small/9/93770/2361185-nes_dracula_eu.jpg,
114,8645,NES,Break Time The National Pool Tour,Sports,https://www.mobygames.com/images/covers/l/202384-break-time-the-national-pool-tour-nes-front-cover.jpg,
115,12113,NES,BreakThru,Puzzle,https://now.estarland.com/images/products/hr/13219/013252002081.jpg,
116,38039,NES,Breakthru [5 Screw],Action & Adventure,https://now.estarland.com/images/products/hr/13219/013252002081.jpg,
117,14930,NES,Bubble Bath Babes,Action & Adventure,https://tiredoldhackdotcom.files.wordpress.com/2015/12/bubble-bath-babes.jpg,
118,11983,NES,Bubble Bobble,Action & Adventure,https://www.mobygames.com/images/covers/l/16218-bubble-bobble-nes-front-cover.jpg,
119,8654,NES,Bubble Bobble Part 2,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/e/eb/Bubbobpart2.jpg,
120,8658,NES,Bucky O'Hare,Action & Adventure,https://www.mobygames.com/images/covers/l/90637-bucky-o-hare-nes-front-cover.jpg,
121,8661,NES,Bugs Bunny Birthday Blowout,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/5/50/Bugs_Bunny_Birthday_Blowout.jpg,
122,8662,NES,Bugs Bunny Crazy Castle,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/31/Crazy_Castle_Cover.png,
123,12114,NES,Bump 'n' Jump,Action & Adventure,https://www.mobygames.com/images/covers/l/247156-bump-n-jump-nes-front-cover.jpg,
124,12115,NES,Burai Fighter,Fighting,https://www.mobygames.com/images/covers/l/224593-burai-fighter-nes-front-cover.png,
125,38006,NES,BurgerTime [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/174677-burgertime-nes-front-cover.jpg,
126,12116,NES,Burgertime,Puzzle,https://www.mobygames.com/images/covers/l/174677-burgertime-nes-front-cover.jpg,
127,12117,NES,Cabal,Action & Adventure,https://www.mobygames.com/images/covers/l/72807-cabal-nes-front-cover.jpg,
128,8683,NES,Caesar's Palace,Sports,https://www.mobygames.com/images/covers/l/175373-caesars-palace-nes-front-cover.jpg,
129,12118,NES,California Games,Sports,https://www.mobygames.com/images/covers/l/16338-california-games-nes-front-cover.jpg,
130,8687,NES,California Raisins The Great Escape [Reproduction],Action & Adventure,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/181765.jpg,
131,14928,NES,Caltron 6-in-1,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/f/fe/Caltron_6-in-1.jpg,
132,8695,NES,Captain America and the Avengers,Action & Adventure,http://nintendoagemedia.com/elements_nocache/E8BF839B-EA69-A7B0-58883B3CA65FDE3B.jpg,
133,8696,NES,Captain Planet and the Planeteers,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/34/Captain_Planet_and_the_Planeteers_Coverart.png,
134,12120,NES,Captain Skyhawk,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/b/b0/Captain_Skyhawk_Coverart.png,
135,12121,NES,Casino Kid,Other,https://upload.wikimedia.org/wikipedia/en/2/2f/CasinoKidBoxart.jpg,
136,8701,NES,Casino Kid II,Other,https://static.giantbomb.com/uploads/scale_small/0/3413/210957-casino_kid_2.jpg,
137,8702,NES,Castelian,Action & Adventure,http://img2.game-oldies.com/sites/default/files/packshots/nintendo-nes/castelian-usa.png,
138,12122,NES,Castle of Deceit,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/0/0e/CastleofDeceitBoxart.jpg,
139,12123,NES,Castle of Dragon,Action & Adventure,https://www.mobygames.com/images/covers/l/247158-castle-of-dragon-nes-front-cover.jpg,
140,12124,NES,Castlequest,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/3/34/CastlequestNESBoxart.jpg,
141,8704,NES,Castlevania,Action & Adventure,https://www.mobygames.com/images/covers/l/41554-castlevania-nes-front-cover.jpg,
142,11984,NES,Castlevania II Simon's Quest,Action & Adventure,https://www.mobygames.com/images/covers/l/24055-castlevania-ii-simon-s-quest-nes-front-cover.jpg,
143,8706,NES,Castlevania III Dracula's Curse,Action & Adventure,https://www.mobygames.com/images/covers/l/41555-castlevania-iii-dracula-s-curse-nes-front-cover.jpg,
144,38007,NES,Castlevania [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/41554-castlevania-nes-front-cover.jpg,
145,12126,NES,Caveman Games,Party,https://www.mobygames.com/images/covers/l/247160-caveman-ugh-lympics-nes-front-cover.jpg,
146,16130,NES,Challenge of the Dragon,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/c2/Challenge_of_the_Dragon_Cover.jpg,
147,8713,NES,Championship Bowling,Sports,https://www.mobygames.com/images/covers/l/111029-championship-bowling-nes-front-cover.jpg,
148,8714,NES,Championship Pool,Sports,https://upload.wikimedia.org/wikipedia/en/d/d6/NESPool.jpg,
149,14927,NES,Cheetahmen II,Action & Adventure,https://static.miraheze.org/crappygameswiki/thumb/b/b4/CHEEH.PNG/411px-CHEEH.PNG,
150,8722,NES,Chessmaster,Strategy,https://cdn11.bigcommerce.com/s-m92i69d8x0/images/stencil/1280x1775/products/6196/8136/TheChessMasterNES15252_f__53024.1502153741.jpg,
151,8729,NES,Chiller,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/9f/Chiller_NES_cover.jpg,
152,12127,NES,Chip and Dale Rescue Rangers,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/0/02/Chip_%27n_Dale_Rescue_Rangers_NES_Cover.png,
153,8730,NES,Chip and Dale Rescue Rangers 2,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/e/e1/Chip-and-dale-rescue-rangers-2-cover.jpg,
154,12128,NES,Chubby Cherub,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/2/25/Chubby_Cherub_Coverart.png,
155,12129,NES,Circus Caper,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/1/1a/Circus_Caper_Cover.jpg,
156,12130,NES,City Connection,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/2/2a/City_Connection_NA_NESboxart.png,
157,12131,NES,Clash at Demonhead,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/5/57/Clashatdemonhead.jpg,
158,12132,NES,Classic Concentration,Action & Adventure,https://www.mobygames.com/images/covers/l/247164-classic-concentration-nes-front-cover.jpg,
159,38378,NES,Cleaning Kit,Accessories,https://i-h2.pinimg.com/564x/0f/b6/05/0fb6051452c629e28f8f7257636e2872.jpg,
160,8738,NES,Cliffhanger,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/f/fd/NesCliffhanger.jpg,
161,12133,NES,Clu Clu Land,Action & Adventurehttps://upload.wikimedia.org/wikipedia/en/4/41/Clu_Clu_Land_Cover.jpg,,
162,12134,NES,Cobra Command,Action & Adventure,https://www.mobygames.com/images/covers/l/41828-cobra-command-nes-front-cover.jpg,
163,8743,NES,Cobra Triangle,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/b/b5/Cobratriangle.jpg,
164,8747,NES,Code Name Viper,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/9a/Code_Name_Viper_cover.jpg,
165,8753,NES,Color A Dinosaur,Other,https://www.mobygames.com/images/covers/l/26352-color-a-dinosaur-nes-front-cover.jpg,
166,12135,NES,Commando,Action & Adventure,https://www.mobygames.com/images/covers/l/85915-commando-nes-front-cover.jpg,
167,37997,NES,Commando [5 Screw],Other,https://www.mobygames.com/images/covers/l/85915-commando-nes-front-cover.jpg,
168,12136,NES,Conan the Mysteries of Time,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/2/2c/Mysteries_of_Time_cover.jpg,
169,12137,NES,Conflict,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/0/00/Conflict_NES_cover.jpg,
170,12138,NES,Conquest of the Crystal Palace,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/4/4d/Conquest_of_the_Crystal_Palace_cover.jpg,
171,12139,NES,Contra,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/6/65/Contra_cover.jpg,
172,12140,NES,Contra Force,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/4/48/Contraforcecover.gif,
173,37258,NES,Control Deck Test Cartridge,Other,http://nintendoagemedia.com/elements_nocache/2F9241FA-E870-DFF2-495AE1481536AE00.jpg,
174,8764,NES,Cool World,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/ca/Cool_World_NES.jpg,
175,12142,NES,Cowboy Kid,Action & Adventure,https://image.gamevaluenow.com/nes/cowboy_kid.jpg,
176,12143,NES,Crash 'n' the Boys: Street Challenge,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/2/2a/Crash_N_the_Boys_Street_Challenge_NES_box_art.jpg,
177,8786,NES,Crystal Mines,Action & Adventure,https://www.mobygames.com/images/covers/l/14569-crystal-mines-nes-front-cover.jpg,
178,12144,NES,Crystalis,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/9b/Crystalisboxart.jpg,
179,8794,NES,Cyberball,Sports,https://upload.wikimedia.org/wikipedia/en/1/12/Cyberball_Cover.jpg,
180,8796,NES,Cybernoid The Fighting Machine,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/d/d2/Cybernoid_computer_game_cover.jpg,
181,12145,NES,Cyberstadium Series Base Wars,Sports,https://www.mobygames.com/images/covers/l/29799-base-wars-cyber-stadium-series-nes-front-cover.jpg,
182,8801,NES,Dance Aerobics,Other,https://www.mobygames.com/images/covers/l/247172-dance-aerobics-nes-front-cover.jpg,
183,8804,NES,Danny Sullivan's Indy Heat,Racing,https://www.mobygames.com/images/covers/l/247318-danny-sullivan-s-indy-heat-nes-front-cover.jpg,
184,8808,NES,Darkman,Action & Adventure,https://www.mobygames.com/images/covers/l/247317-darkman-nes-front-cover.jpg,
185,8810,NES,Darkwing Duck,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/c3/Darkwing_Duck_NES_Cover.png,
186,12146,NES,Dash Galaxy in the Alien Asylum,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/d/da/DashGalaxyBoxart.jpg,
187,8817,NES,Day Dreamin' Davey,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/a2/DayDreaminDaveyNES.jpg,
188,8818,NES,Days Of Thunder,Racing,https://upload.wikimedia.org/wikipedia/en/8/8b/Days_of_Thunder_cover_art_%28NES%29.jpg,
189,12147,NES,Deadly Towers,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/f/f3/Deadly_Towers_boxart.png,
190,38022,NES,Deadly Towers [5 Screw],Action & Adventure,https://upload.wikimedia.org/wikipedia/en/f/f3/Deadly_Towers_boxart.png,
191,12148,NES,Death Race,Racing,https://upload.wikimedia.org/wikipedia/en/d/d8/DeathRaceBoxShotNES.jpg,
192,12149,NES,Deathbots,Action & Adventure,https://www.mobygames.com/images/covers/l/42366-deathbots-nes-front-cover.jpg,
193,12150,NES,Defender II,Action & Adventure,https://server.emulator.games/images/nintendo/defender-2.jpg,
194,12151,NES,Defender of the Crown,Action & Adventure,https://www.mobygames.com/images/covers/l/247326-defender-of-the-crown-nes-front-cover.jpg,
195,8836,NES,Defenders of Dynatron City,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/1/1e/Defenders_of_Dynatron_City_Cover.jpg,
